name,role,required,path,exists,size_bytes,mtime,sha256
active_bit,active FPGA bitstream for P1 2-lane ILA lane mapping,True,TFDU_VFIR_Client_Array/TFDU_VFIR_Client.runs/impl_1/design_shiboqi_wrapper.bit,True,2083858,2026-06-29T15:35:27,699E4A89DF01A69A38BF52ACF29A52CD91AEE9FEDF4458FE229354D59E0897FE
active_ltx,active ILA probes for P1 2-lane physical matrix,True,TFDU_VFIR_Client_Array/TFDU_VFIR_Client.runs/impl_1/design_shiboqi_wrapper.ltx,True,18529,2026-06-29T15:35:44,32805D7AE4FDFB411F74E821A6CCF99702C879E825318548224640062F18913C
active_xsa,active hardware platform exported from current design,True,TFDU_VFIR_Client_Array/design_shiboqi_wrapper.xsa,True,759209,2026-06-29T15:35:49,C8C53B8ADB1B53E4210E6DBBA709DF456B11C0BECE4ECA9DD6028670B42BDD58
active_bit_copy,top-level convenience copy of active bitstream,True,TFDU_VFIR_Client_Array/design_shiboqi_wrapper.bit,True,2083858,2026-06-29T15:35:27,699E4A89DF01A69A38BF52ACF29A52CD91AEE9FEDF4458FE229354D59E0897FE
active_boot,current BOOT.BIN recorded to avoid stage mix-ups,True,software/_boot/BOOT.BIN,True,2253584,2026-06-29T15:36:25,87E9BDF6899D65E9859DA8A8EE0A9EDC4F8C3AC5D6994388DD98637351F426F2
ps_loopback_elf,PS loopback/control ELF used by board-side tests,True,software/_vitis_ws_ps_ps_loopback/rf_comm_ps_ps_loopback/Debug/rf_comm_ps_ps_loopback.elf,True,355256,2026-06-29T15:36:21,4282F3A1C84EF3194111705278C1A6E755735E2F31520881995DB56401D07749
shutdown_bit,post-test TFDU shutdown bitstream,True,shutdown_bitstream/tfdu_shutdown_j10_j11.bit,True,2083853,2026-06-05T00:22:31,F72680DD3EDA852E64F0B844F54D372368FDB3BDEB775B75507623E6DC167765
constraint,hard project constraint,True,项目约束(目标）.txt,True,8716,2026-06-03T23:03:42,CFF1A17EE77BBAF90080CF4F97E5920E961AEFAE3B6752F080E35FCF4D4B1F11
project_xpr,Vivado project file,True,TFDU_VFIR_Client_Array/TFDU_VFIR_Client.xpr,True,94633,2026-06-29T15:35:25,ECDDE1B776E4197EDB1528091CCA45A68234ECB0B615FC8BC88CE5504B6C42CA
port_xdc,active TFDU port constraints,True,TFDU_VFIR_Client_Array/TFDU_VFIR_Client.srcs/constrs_1/new/PORT1.xdc,True,2605,2026-06-26T02:12:24,13B233937908A2DF171AE6DD7D97DFC1FA342C01A76434DCB4EC4EDF1BFAD98C
block_design,active block design,True,TFDU_VFIR_Client_Array/TFDU_VFIR_Client.srcs/sources_1/bd/design_shiboqi/design_shiboqi.bd,True,110054,2026-06-29T15:29:35,BABEBA9580B65D9AC4B8FFBEDACCBA72A864C6AA3D3CF1B87243F9F80AD6F73B
ila_xci,2-lane physical ILA IP configuration,True,TFDU_VFIR_Client_Array/TFDU_VFIR_Client.srcs/sources_1/bd/design_shiboqi/ip/design_shiboqi_ila_2lane_phy_0/design_shiboqi_ila_2lane_phy_0.xci,True,693093,2026-06-29T15:29:35,73A276A4E45074C9EC0EB894FAF533395A0206A7F3FEE96185C45407F36DB9B5
ir_array_xci,active IR array IP packet/lane configuration,True,TFDU_VFIR_Client_Array/TFDU_VFIR_Client.srcs/sources_1/bd/design_shiboqi/ip/design_shiboqi_ir_array_top_axi_0_0/design_shiboqi_ir_array_top_axi_0_0.xci,True,27991,2026-06-29T15:29:35,AD11A4C84235D7C766983D9262B34DD5C3A10F127F503BA585E612CBE636381B
ir_loopback_b0_xci,active B-side loopback IP packet/lane configuration,True,TFDU_VFIR_Client_Array/TFDU_VFIR_Client.srcs/sources_1/bd/design_shiboqi/ip/design_shiboqi_ir_loopback_b0_15/design_shiboqi_ir_loopback_b0_15.xci,True,9100,2026-06-29T15:29:03,2A0BC3EAE9F1332A95211DDE80DCF5D92740530599728B6F5C997A54530514EB
ps_makefile,actual PS loopback ELF compile flags,True,software/_vitis_ws_ps_ps_loopback/rf_comm_ps_ps_loopback/Debug/src/subdir.mk,True,1503,2026-06-29T15:36:20,9A464A5DF4E79ED6903738906A1A1D2633E037A40DC90015F260B0127188AB0F
ir_hw_header,shared PS IR hardware packet constants,True,software/ps_lwip_bridge/src/ir_hw.h,True,8035,2026-06-28T20:00:42,A282AC0129D68FBD35FA84705B60AE6338A41EA3FBCCB3F1F91E368DC00CC388
guard_script,artifact stage guard used before P1 hardware run,True,tools/check_active_artifact_stage.py,True,12147,2026-06-27T15:22:06,5ECC7E550BDD795F91DAA6593DE3CC481543CD07A80517C7256E6203FB0264D2
p1_wrapper,safe P1 lane-mapping wrapper,True,tools/run_p1_lane_mapping_matrix_safe.ps1,True,13519,2026-06-27T19:24:29,D771E408EDD198B67B425D7FBB7C3A6F9147609A5137AB877C945CFB6B19737C
matrix_wrapper,safe 2-lane matrix runner,True,tools/run_2lane_matrix_safe.ps1,True,18827,2026-06-27T19:19:43,B50A833CD470F43A7E94931EC48AEBECBCFA649154F17AF9C221ADC40F44EE22
prearmed_wrapper,single prearmed ILA capture wrapper,True,tools/run_2lane_hw_prearmed_ila_safe.ps1,True,25284,2026-06-28T01:19:24,2764FA075B987BDC4009C6A441B5AFBA2EE8486C0C900626DBAA86588756DE8B
add_ila_script,script that adds the passive 2-lane physical ILA,True,tools/add_2lane_phy_ila.tcl,True,4621,2026-06-06T02:12:49,D17B8FFC34CF902FA9517A7208B5A6BDDE2070657CB933B1426E4F2C8FD1F1C2
